,Compressor_mean,AditionalHeat_mean,HotWater_mean,OutsideTemp_mean
2016-02-24 10:00:00,0.4165763446687441,0.0,47.450520833333336,2.4505208333333335
2016-02-24 11:00:00,0.43756361768688423,0.0,47.375,2.375
2016-02-24 12:00:00,0.4663768543078888,0.0,47.55729166666667,2.2916666666666665
2016-02-24 13:00:00,0.4717465629263967,0.0,47.778645833333336,2.2083333333333335
2016-02-24 14:00:00,0.474047976011994,0.0,47.776041666666664,2.125
2016-02-24 15:00:00,0.4757116178752729,0.0,47.817708333333336,2.0416666666666665
2016-02-24 16:00:00,0.4876413933062745,0.0,47.877604166666664,1.9661458333333333
2016-02-24 17:00:00,0.49282496782496776,0.0,48.015625,1.9244791666666667
2016-02-24 18:00:00,0.45995877773857013,0.0,48.3984375,1.9166666666666667
2016-02-24 19:00:00,0.43304062608426497,0.0,48.57031250000001,1.9166666666666667
2016-02-24 20:00:00,0.41706104057412197,0.0,48.40717353951891,1.9173539518900344
2016-02-24 21:00:00,0.4076204173977791,0.0,48.22422680412372,1.9175257731958764
2016-02-24 22:00:00,0.40629278242620004,0.0,48.108247422680414,1.9175257731958764
2016-02-24 23:00:00,0.3940373983113906,0.0,47.98453608247423,1.943298969072165
2016-02-25 00:00:00,0.394310672103487,0.0,47.85309278350515,1.9845360824742269
2016-02-25 01:00:00,0.39664672778771615,0.0,47.80412371134021,2.0257731958762886
2016-02-25 02:00:00,0.39722122838401913,0.0,47.88144329896907,2.0670103092783503
2016-02-25 03:00:00,0.40122852885324034,0.0,47.91494845360825,2.115979381443299
2016-02-25 04:00:00,0.39703703925967215,0.0,47.920103092783506,2.195876288659794
2016-02-25 05:00:00,0.3979370164754389,0.0,47.95360824742268,2.2783505154639174
2016-02-25 06:00:00,0.3950144323041816,0.0,47.99484536082474,2.3582474226804124
2016-02-25 07:00:00,0.38528354865185244,0.0,48.02835051546392,2.404639175257732
2016-02-25 08:00:00,0.3769327897418851,0.0,48.03865979381443,2.420103092783505
2016-02-25 09:00:00,0.39204104821506175,0.0,48.08762886597938,2.4561855670103094
2016-02-25 10:00:00,0.39707313582367254,0.0,48.26288659793814,2.463917525773196
2016-02-25 11:00:00,0.37724451888022736,0.0,48.371134020618555,2.463917525773196
2016-02-25 12:00:00,0.3602305733053309,0.0,48.28471491689459,2.4666526404376183
2016-02-25 13:00:00,0.3553012071265792,0.0,48.14030612244898,2.4693877551020407
2016-02-25 14:00:00,0.34525819658419277,0.0,48.0280612244898,2.4693877551020407
2016-02-25 15:00:00,0.3438486032710957,0.0,47.91326530612245,2.4693877551020407
2016-02-25 16:00:00,0.33433947005375575,0.0,47.78826530612245,2.4693877551020407
2016-02-25 17:00:00,0.33995733578068005,0.0,47.66581632653062,2.4693877551020407
2016-02-25 18:00:00,0.35437914845394203,0.0,47.70918367346939,2.4693877551020407
2016-02-25 19:00:00,0.3732366082817637,0.0,47.56122448979592,2.46530612244898
2016-02-25 20:00:00,0.3913247459951493,0.0,47.57397959183673,2.4591836734693877
2016-02-25 21:00:00,0.40704557100951044,0.0,47.47704081632653,2.4591836734693877
2016-02-25 22:00:00,0.42910447761194026,0.0,47.653061224489804,2.4591836734693877
2016-02-25 23:00:00,0.4422168812901993,0.0,47.78061224489795,2.4591836734693877
2016-02-26 00:00:00,0.4435897435897436,0.0,47.90306122448979,2.4591836734693877
2016-02-26 01:00:00,0.43830364763276847,0.0,47.9719387755102,2.443877551020408
2016-02-26 02:00:00,0.44025590551181104,0.0,47.88265306122449,2.403061224489796
2016-02-26 03:00:00,0.44295362903225804,0.0,47.84438775510204,2.362244897959184
2016-02-26 04:00:00,0.43271674374036584,0.0,47.83673469387755,2.3214285714285716
2016-02-26 05:00:00,0.43730322580645165,0.0,47.82142857142857,2.2831632653061225
2016-02-26 06:00:00,0.42973017121876284,0.0,47.78061224489796,2.2755102040816326
2016-02-26 07:00:00,0.4290745195009554,0.0,47.74234693877551,2.2755102040816326
2016-02-26 08:00:00,0.4387278297078506,0.0,47.7295918367347,2.2729591836734695
2016-02-26 09:00:00,0.4308866958900004,0.0,47.71173469387755,2.24234693877551
2016-02-26 10:00:00,0.4300687015955083,0.0,47.53826530612245,2.2346938775510203
2016-02-26 11:00:00,0.426487425678933,0.0,47.41326530612245,2.2346938775510203
2016-02-26 12:00:00,0.4325446496607279,0.0,47.38228487271198,2.2307490006311803
2016-02-26 13:00:00,0.43971578035452485,0.0,47.49226804123711,2.2268041237113403
2016-02-26 14:00:00,0.43772353726242547,0.0,47.49742268041237,2.2268041237113403
2016-02-26 15:00:00,0.432283615479428,0.0,47.52319587628866,2.2268041237113403
2016-02-26 16:00:00,0.4420507609628325,0.0,47.52835051546391,2.2268041237113403
2016-02-26 17:00:00,0.43689728377463977,0.0,47.54381443298969,2.2268041237113403
2016-02-26 18:00:00,0.43336506779020145,0.0,47.425257731958766,2.2242268041237114
2016-02-26 19:00:00,0.4196833663228923,0.0,47.66237113402062,2.1932989690721647
2016-02-26 20:00:00,0.40164812211316187,0.0,47.70360824742268,2.185567010309278
2016-02-26 21:00:00,0.37734596109621393,0.0,47.90721649484536,2.185567010309278
2016-02-26 22:00:00,0.35221592486258985,0.0,47.871134020618555,2.185567010309278
2016-02-26 23:00:00,0.3420995065056844,0.0,47.809278350515456,2.185567010309278
2016-02-27 00:00:00,0.3440246267727184,0.0,47.7680412371134,2.185567010309278
2016-02-27 01:00:00,0.3440246267727184,0.0,47.75257731958763,2.193298969072165
2016-02-27 02:00:00,0.34086028806374447,0.0,47.73711340206185,2.2242268041237114
